PID,Process Name,CPU Usage,GPU Usage,Memory Usage,IO_Usage,Timestamp
13224,LiDAR360.exe,8.658333333333333,0.0,6.131669822933886,"pio(read_count=438688, write_count=707, read_bytes=1655668374, write_bytes=1990411, other_count=295824, other_bytes=3584444)",1646724244.5897138
14668,LiDAR360.exe,9.108333333333333,16.0,4.55476577250237,"pio(read_count=496988, write_count=707, read_bytes=1901349450, write_bytes=1990411, other_count=282539, other_bytes=3446976)",1646724248.6624463
14936,LiDAR360.exe,8.916666666666666,2.0,6.128578018055186,"pio(read_count=437801, write_count=505, read_bytes=1654417140, write_bytes=1165975, other_count=289950, other_bytes=3517208)",1646724252.7220147
7156,LiDAR360.exe,9.108333333333333,6.0,5.584838170873909,"pio(read_count=438350, write_count=484, read_bytes=1654609677, write_bytes=1083950, other_count=295308, other_bytes=3582308)",1646724256.8036325
13224,LiDAR360.exe,8.916666666666666,0.0,5.5837399235810885,"pio(read_count=439954, write_count=707, read_bytes=1656277537, write_bytes=1990411, other_count=307441, other_bytes=3723816)",1646724260.8648822
14668,LiDAR360.exe,8.983333333333333,0.0,5.8255095151190455,"pio(read_count=524058, write_count=707, read_bytes=2006611164, write_bytes=1990411, other_count=292840, other_bytes=3579520)",1646724264.9300485
14936,LiDAR360.exe,8.858333333333333,1.0,6.128780955054946,"pio(read_count=438681, write_count=505, read_bytes=1654844060, write_bytes=1165975, other_count=298190, other_bytes=3617368)",1646724268.9893086
7156,LiDAR360.exe,8.658333333333333,1.0,6.998031749851736,"pio(read_count=482806, write_count=484, read_bytes=1829979408, write_bytes=1083950, other_count=305280, other_bytes=3714080)",1646724273.0598319
13224,LiDAR360.exe,8.791666666666666,0.0,6.997733313087383,"pio(read_count=484244, write_count=707, read_bytes=1831571755, write_bytes=1990411, other_count=316096, other_bytes=3841416)",1646724277.1226878
14668,LiDAR360.exe,8.658333333333333,0.0,5.305680421497761,"pio(read_count=524982, write_count=707, read_bytes=2007059430, write_bytes=1990411, other_count=301492, other_bytes=3684688)",1646724281.18507
14936,LiDAR360.exe,8.525,2.0,5.581949302994968,"pio(read_count=439903, write_count=505, read_bytes=1655431877, write_bytes=1165975, other_count=309395, other_bytes=3751732)",1646724285.2473953
7156,LiDAR360.exe,8.4,3.0,6.992958324857729,"pio(read_count=483862, write_count=484, read_bytes=1830491712, write_bytes=1083950, other_count=315168, other_bytes=3834272)",1646724289.312226
13224,LiDAR360.exe,8.525,1.0,6.992636013152227,"pio(read_count=485406, write_count=707, read_bytes=1832131898, write_bytes=1990411, other_count=326807, other_bytes=3970300)",1646724293.379635
14668,LiDAR360.exe,8.725,4.0,6.67661535464315,"pio(read_count=569570, write_count=707, read_bytes=2182493199, write_bytes=1990411, other_count=312700, other_bytes=3831484)",1646724297.4452016
14936,LiDAR360.exe,9.5,0.0,6.995035444737628,"pio(read_count=484431, write_count=505, read_bytes=1830837972, write_bytes=1165975, other_count=320109, other_bytes=3893048)",1646724301.528004
7156,LiDAR360.exe,7.041666666666667,2.0,6.992922512446007,"pio(read_count=484892, write_count=484, read_bytes=1830987817, write_bytes=1083950, other_count=324643, other_bytes=3948132)",1646724305.6017368
13224,LiDAR360.exe,8.4,0.0,6.994999632325906,"pio(read_count=486374, write_count=707, read_bytes=1832601510, write_bytes=1990411, other_count=335871, other_bytes=4080476)",1646724309.7726882
14668,LiDAR360.exe,8.983333333333333,0.0,6.6718284289429235,"pio(read_count=570732, write_count=707, read_bytes=2183053342, write_bytes=1990411, other_count=323411, other_bytes=3960368)",1646724313.8400068
14936,LiDAR360.exe,8.85,0.0,6.990069456978788,"pio(read_count=485443, write_count=505, read_bytes=1831328930, write_bytes=1165975, other_count=329585, other_bytes=4008232)",1646724317.908211
7156,LiDAR360.exe,8.466666666666667,2.0,6.095654474211721,"pio(read_count=485992, write_count=484, read_bytes=1831521467, write_bytes=1083950, other_count=334943, other_bytes=4073332)",1646724322.034123
